id,educ,jobcat,salary,salbegin,jobtime,prevexp,minority,age,gender,dob
435,15,Clerical,40350,16500,66,80,No,25,Male,5/24/64
436,12,Clerical,30270,15750,66,80,No,24,Male,5/27/65
437,8,Clerical,26250,16050,66,264,No,56,Male,9/4/33
438,15,Clerical,32400,15000,66,64,No,25,Male,10/11/64
439,12,Clerical,20400,11250,66,0,No,19,Female,6/25/70
440,8,Clerical,24150,12750,66,96,No,42,Female,11/10/47
441,15,Clerical,23850,13500,66,122,No,40,Female,8/2/49
442,12,Clerical,29700,13500,66,26,No,21,Female,9/18/68
443,8,Clerical,21600,13500,66,228,No,60,Female,2/10/29
444,12,Clerical,24450,15750,66,87,No,28,Female,9/16/61
445,15,Clerical,28050,16500,66,84,Yes,26,Male,8/4/63
446,16,Manager,1.00E+05,44100,66,128,Yes,31,Male,8/3/58
447,15,Clerical,49000,20550,66,86,Yes,28,Male,7/2/61
448,12,Clerical,16350,10200,66,163,Yes,56,Female,6/5/33
449,16,Manager,70000,21750,65,19,No,23,Male,1/2/66
450,19,Manager,55000,34980,65,129,No,35,Male,7/21/54
451,15,Clerical,28500,14250,65,20,No,20,Male,7/19/69
452,12,Clerical,28800,18000,65,210,No,36,Male,8/13/53
453,15,Clerical,24450,15750,65,338,No,59,Male,8/7/30
454,19,Manager,90625,31250,65,18,No,24,Male,7/28/65
455,16,Manager,43650,19500,65,19,No,25,Male,1/17/64
456,19,Manager,75000,42510,65,54,No,30,Male,10/17/59
457,15,Clerical,31650,14250,65,10,No,21,Male,5/27/68
458,19,Manager,61875,28740,65,26,No,24,Male,7/6/65
459,12,Clerical,21750,11250,65,0,No,18,Female,2/10/71
460,12,Clerical,22500,12750,65,24,No,20,Female,8/12/69
461,8,Clerical,21600,13500,65,173,No,46,Female,11/8/43
462,16,Manager,34410,19500,65,79,No,26,Female,10/18/63
463,15,Clerical,20700,14250,65,241,No,55,Female,10/15/34
464,19,Manager,47550,33000,64,27,No,27,Male,3/20/62
465,12,Clerical,33900,16500,64,106,No,27,Male,7/20/62
466,12,Clerical,23400,13500,64,198,No,41,Female,6/15/48
467,16,Clerical,32850,19500,64,20,No,22,Female,8/18/67
468,16,Manager,55750,19980,64,36,No,24,Female,11/28/65
469,15,Clerical,25200,13950,64,57,No,25,Female,6/1/64
470,12,Clerical,26250,15750,64,69,Yes,25,Male,1/22/64
471,15,Clerical,26400,15750,64,32,Yes,23,Male,8/3/66
472,15,Clerical,39150,15750,63,46,No,23,Male,2/21/66
473,12,Clerical,21450,12750,63,139,No,52,Female,11/25/37
474,12,Clerical,29400,14250,63,9,No,21,Female,11/5/68
